m49,geometry_name,ne_un_a3,fao_area,Flag,head,species,rendered_as
004,Afghanistan,004,Afghanistan,E,5386042.0,Cattle,E
-099,Siachen Glacier,-099,,,,Cattle,none
534,Sint Maarten,534,,,,Cattle,none
798,Tuvalu,798,,,,Cattle,none
716,Zimbabwe,716,Zimbabwe,A,431957.0,Sheep,A
894,Zambia,894,Zambia,A,260560.0,Sheep,A
887,Yemen,887,Yemen,X,10624080.0,Sheep,X
704,Vietnam,704,,,,Sheep,none
862,Venezuela,862,Venezuela (Bolivarian Republic of),E,635000.0,Sheep,E
336,Vatican,336,,,,Sheep,none
548,Vanuatu,548,Vanuatu,A,1260.0,Sheep,A
860,Uzbekistan,860,Uzbekistan,A,19938000.0,Sheep,A
858,Uruguay,858,Uruguay,A,6164000.0,Sheep,A
583,Micronesia,583,,,,Sheep,none
584,Marshall Is.,584,,,,Sheep,none
580,N. Mariana Is.,580,,,,Sheep,none
850,U.S. Virgin Is.,850,,,,Sheep,none
316,Guam,316,,,,Sheep,none
016,American Samoa,016,,,,Sheep,none
630,Puerto Rico,630,Puerto Rico,A,16604.0,Sheep,A
840,United States of America,840,United States of America,A,5165000.0,Sheep,A
-099,S. Geo. and the Is.,-099,,,,Sheep,none
-099,Br. Indian Ocean Ter.,-099,,,,Sheep,none
654,Saint Helena,654,,,,Sheep,none
612,Pitcairn Is.,612,,,,Sheep,none
660,Anguilla,660,,,,Sheep,none
238,Falkland Is.,238,,,,Sheep,none
136,Cayman Is.,136,,,,Sheep,none
060,Bermuda,060,,,,Sheep,none
092,British Virgin Is.,092,,,,Sheep,none
796,Turks and Caicos Is.,796,,,,Sheep,none
500,Montserrat,500,,,,Sheep,none
832,Jersey,832,,,,Sheep,none
831,Guernsey,831,,,,Sheep,none
833,Isle of Man,833,,,,Sheep,none
826,United Kingdom,826,United Kingdom of Great Britain and Northern Ireland,A,33173748.0,Sheep,A
784,United Arab Emirates,784,United Arab Emirates,A,2072026.0,Sheep,A
804,Ukraine,804,Ukraine,A,607100.0,Sheep,A
800,Uganda,800,Uganda,A,4372122.0,Sheep,A
795,Turkmenistan,795,Turkmenistan,A,14281484.0,Sheep,A
792,Turkey,792,Türkiye,A,44687888.0,Sheep,A
788,Tunisia,788,Tunisia,I,6236361.0,Sheep,I
780,Trinidad and Tobago,780,Trinidad and Tobago,A,16604.0,Sheep,A
776,Tonga,776,,,,Sheep,none
768,Togo,768,Togo,A,1991392.0,Sheep,A
626,Timor-Leste,626,Timor-Leste,I,40393.0,Sheep,I
764,Thailand,764,Thailand,I,41836.0,Sheep,I
834,Tanzania,834,United Republic of Tanzania,A,9087935.0,Sheep,A
762,Tajikistan,762,Tajikistan,A,4224000.0,Sheep,A
158,Taiwan,-099,"China, Taiwan Province of",I,160.0,Sheep,I
760,Syria,760,Syrian Arab Republic,A,17847163.0,Sheep,A
756,Switzerland,756,Switzerland,A,355893.0,Sheep,A
752,Sweden,752,Sweden,A,340840.0,Sheep,A
748,eSwatini,748,Eswatini,A,18103.0,Sheep,A
740,Suriname,740,Suriname,A,6649.0,Sheep,A
728,S. Sudan,728,South Sudan,E,14563459.0,Sheep,E
729,Sudan,729,Sudan,X,39800000.0,Sheep,X
144,Sri Lanka,144,Sri Lanka,A,12200.0,Sheep,A
724,Spain,724,Spain,A,14452590.0,Sheep,A
410,South Korea,410,Republic of Korea,E,1756.0,Sheep,E
710,South Africa,710,South Africa,A,21432364.0,Sheep,A
706,Somalia,706,Somalia,E,9828805.0,Sheep,E
-099,Somaliland,-099,,,,Sheep,none
090,Solomon Is.,090,,,,Sheep,none
703,Slovakia,703,Slovakia,A,301130.0,Sheep,A
705,Slovenia,705,Slovenia,A,117200.0,Sheep,A
702,Singapore,702,,,,Sheep,none
694,Sierra Leone,694,Sierra Leone,I,939621.0,Sheep,I
690,Seychelles,690,,,,Sheep,none
688,Serbia,688,Serbia,A,1720826.0,Sheep,A
686,Senegal,686,Senegal,A,8625583.0,Sheep,A
682,Saudi Arabia,682,Saudi Arabia,A,21804724.0,Sheep,A
678,São Tomé and Principe,678,Sao Tome and Principe,I,3357.0,Sheep,I
674,San Marino,674,,,,Sheep,none
882,Samoa,882,,,,Sheep,none
670,St. Vin. and Gren.,670,Saint Vincent and the Grenadines,I,8627.0,Sheep,I
662,Saint Lucia,662,Saint Lucia,I,9108.0,Sheep,I
659,St. Kitts and Nevis,659,Saint Kitts and Nevis,A,12000.0,Sheep,A
646,Rwanda,646,Rwanda,A,331748.0,Sheep,A
643,Russia,643,Russian Federation,A,19148212.0,Sheep,A
642,Romania,642,Romania,A,10247400.0,Sheep,A
634,Qatar,634,Qatar,A,813941.0,Sheep,A
620,Portugal,620,Portugal,A,2269280.0,Sheep,A
616,Poland,616,Poland,A,266370.0,Sheep,A
608,Philippines,608,Philippines,I,30000.0,Sheep,I
604,Peru,604,Peru,A,11210723.0,Sheep,A
600,Paraguay,600,Paraguay,A,476995.0,Sheep,A
598,Papua New Guinea,598,Papua New Guinea,I,7292.0,Sheep,I
591,Panama,591,,,,Sheep,none
585,Palau,585,,,,Sheep,none
586,Pakistan,586,Pakistan,A,31969000.0,Sheep,A
512,Oman,512,Oman,A,655180.0,Sheep,A
578,Norway,-99,Norway,A,2253000.0,Sheep,A
408,North Korea,408,Democratic People's Republic of Korea,I,164390.0,Sheep,I
566,Nigeria,566,Nigeria,I,50305129.0,Sheep,I
562,Niger,562,Niger,A,14627232.0,Sheep,A
558,Nicaragua,558,Nicaragua,I,6882.0,Sheep,I
554,New Zealand,554,New Zealand,A,25132697.0,Sheep,A
570,Niue,570,,,,Sheep,none
184,Cook Is.,184,,,,Sheep,none
528,Netherlands,528,Netherlands (Kingdom of the),A,723000.0,Sheep,A
533,Aruba,533,,,,Sheep,none
531,Curaçao,531,,,,Sheep,none
524,Nepal,524,Nepal,A,771205.0,Sheep,A
520,Nauru,520,,,,Sheep,none
516,Namibia,516,Namibia,A,2204508.0,Sheep,A
508,Mozambique,508,Mozambique,A,164002.0,Sheep,A
504,Morocco,504,Morocco,A,21628277.0,Sheep,A
732,W. Sahara,732,,,,Sheep,none
499,Montenegro,499,Montenegro,A,161376.0,Sheep,A
496,Mongolia,496,Mongolia,A,32747682.0,Sheep,A
498,Moldova,498,Republic of Moldova,A,419290.0,Sheep,A
492,Monaco,492,,,,Sheep,none
484,Mexico,484,Mexico,A,8805206.0,Sheep,A
480,Mauritius,480,Mauritius,A,4367.0,Sheep,A
478,Mauritania,478,Mauritania,I,11181479.0,Sheep,I
470,Malta,470,Malta,A,14470.0,Sheep,A
466,Mali,466,Mali,A,22207300.0,Sheep,A
462,Maldives,462,,,,Sheep,none
458,Malaysia,458,Malaysia,A,138520.0,Sheep,A
454,Malawi,454,Malawi,A,404956.0,Sheep,A
450,Madagascar,450,Madagascar,A,949012.0,Sheep,A
807,North Macedonia,807,North Macedonia,A,646488.0,Sheep,A
442,Luxembourg,442,Luxembourg,A,9000.0,Sheep,A
440,Lithuania,440,Lithuania,A,135640.0,Sheep,A
438,Liechtenstein,438,,,,Sheep,none
434,Libya,434,Libya,I,7374199.0,Sheep,I
430,Liberia,430,Liberia,I,280653.0,Sheep,I
426,Lesotho,426,Lesotho,A,2377809.0,Sheep,A
422,Lebanon,422,Lebanon,X,424856.0,Sheep,X
428,Latvia,428,Latvia,A,87320.0,Sheep,A
418,Laos,418,,,,Sheep,none
417,Kyrgyzstan,417,Kyrgyzstan,A,5515593.0,Sheep,A
414,Kuwait,414,Kuwait,I,764424.0,Sheep,I
-099,Kosovo,-099,,,,Sheep,none
296,Kiribati,296,,,,Sheep,none
404,Kenya,404,Kenya,A,21333288.0,Sheep,A
398,Kazakhstan,398,Kazakhstan,A,16959015.0,Sheep,A
400,Jordan,400,Jordan,A,2961717.0,Sheep,A
392,Japan,392,Japan,E,14148.0,Sheep,E
388,Jamaica,388,Jamaica,I,1315.0,Sheep,I
380,Italy,380,Italy,A,6568000.0,Sheep,A
376,Israel,376,Israel,A,550000.0,Sheep,A
275,Palestine,275,Palestine,I,782060.0,Sheep,I
372,Ireland,372,Ireland,A,4018030.0,Sheep,A
368,Iraq,368,Iraq,A,6784517.0,Sheep,A
364,Iran,364,Iran (Islamic Republic of),A,55582000.0,Sheep,A
360,Indonesia,360,Indonesia,A,14063214.0,Sheep,A
356,India,356,India,E,96846000.0,Sheep,E
352,Iceland,352,Iceland,A,365290.0,Sheep,A
348,Hungary,348,Hungary,A,871700.0,Sheep,A
340,Honduras,340,Honduras,E,16483.0,Sheep,E
332,Haiti,332,Haiti,I,288001.0,Sheep,I
328,Guyana,328,Guyana,I,132011.0,Sheep,I
624,Guinea-Bissau,624,Guinea-Bissau,I,472332.0,Sheep,I
324,Guinea,324,Guinea,A,3507606.0,Sheep,A
320,Guatemala,320,Guatemala,I,611942.0,Sheep,I
308,Grenada,308,Grenada,I,10742.0,Sheep,I
300,Greece,300,Greece,A,7378400.0,Sheep,A
288,Ghana,288,Ghana,I,5840815.0,Sheep,I
276,Germany,276,Germany,A,1516900.0,Sheep,A
268,Georgia,268,Georgia,A,904300.0,Sheep,A
270,Gambia,270,Gambia,A,179185.0,Sheep,A
266,Gabon,266,Gabon,I,219385.0,Sheep,I
250,France,250,France,A,6746000.0,Sheep,A
666,St. Pierre and Miquelon,666,,,,Sheep,none
876,Wallis and Futuna Is.,876,,,,Sheep,none
663,St-Martin,663,,,,Sheep,none
652,St-Barthélemy,652,,,,Sheep,none
258,Fr. Polynesia,258,French Polynesia,I,441.0,Sheep,I
540,New Caledonia,540,New Caledonia,I,1897.0,Sheep,I
260,Fr. S. Antarctic Lands,260,,,,Sheep,none
248,Åland,248,,,,Sheep,none
246,Finland,246,Finland,A,132080.0,Sheep,A
242,Fiji,242,Fiji,A,35370.0,Sheep,A
231,Ethiopia,231,Ethiopia,A,38013272.0,Sheep,A
233,Estonia,233,Estonia,A,63100.0,Sheep,A
232,Eritrea,232,Eritrea,I,2508626.0,Sheep,I
226,Eq. Guinea,226,Equatorial Guinea,I,41356.0,Sheep,I
222,El Salvador,222,El Salvador,I,5550.0,Sheep,I
818,Egypt,818,Egypt,A,2132000.0,Sheep,A
218,Ecuador,218,Ecuador,A,551960.0,Sheep,A
214,Dominican Rep.,214,Dominican Republic,I,259553.0,Sheep,I
212,Dominica,212,Dominica,I,8409.0,Sheep,I
262,Djibouti,262,Djibouti,I,470038.0,Sheep,I
304,Greenland,304,,,,Sheep,none
234,Faeroe Is.,234,Faroe Islands,E,77849.0,Sheep,E
208,Denmark,208,Denmark,A,132510.0,Sheep,A
203,Czechia,203,Czechia,A,174200.0,Sheep,A
-099,N. Cyprus,-099,,,,Sheep,none
196,Cyprus,196,Cyprus,A,343630.0,Sheep,A
192,Cuba,192,Cuba,A,1411800.0,Sheep,A
191,Croatia,191,Croatia,A,643000.0,Sheep,A
384,Côte d'Ivoire,384,Côte d'Ivoire,A,2437692.0,Sheep,A
188,Costa Rica,188,Costa Rica,I,2877.0,Sheep,I
180,Dem. Rep. Congo,180,Democratic Republic of the Congo,A,917414.0,Sheep,A
178,Congo,178,Congo,I,125352.0,Sheep,I
174,Comoros,174,Comoros,I,26244.0,Sheep,I
170,Colombia,170,Colombia,A,1819247.0,Sheep,A
156,China,156,"China, mainland",A,194030100.0,Sheep,A
446,Macao,446,,,,Sheep,none
344,Hong Kong,344,"China, Hong Kong SAR",I,23.0,Sheep,I
152,Chile,152,Chile,E,1870000.0,Sheep,E
148,Chad,148,Chad,A,45081553.0,Sheep,A
140,Central African Rep.,140,Central African Republic,E,441204.0,Sheep,E
132,Cabo Verde,132,Cabo Verde,A,19229.0,Sheep,A
124,Canada,124,Canada,A,822200.0,Sheep,A
120,Cameroon,120,Cameroon,I,3583379.0,Sheep,I
116,Cambodia,116,,,,Sheep,none
104,Myanmar,104,Myanmar,E,542000.0,Sheep,E
108,Burundi,108,Burundi,A,665068.0,Sheep,A
854,Burkina Faso,854,Burkina Faso,A,11286022.0,Sheep,A
100,Bulgaria,100,Bulgaria,A,1096400.0,Sheep,A
096,Brunei,096,Brunei Darussalam,I,4366.0,Sheep,I
076,Brazil,076,Brazil,A,21520872.0,Sheep,A
072,Botswana,072,Botswana,E,201405.0,Sheep,E
070,Bosnia and Herz.,070,Bosnia and Herzegovina,A,997046.0,Sheep,A
068,Bolivia,068,Bolivia (Plurinational State of),A,7592484.0,Sheep,A
064,Bhutan,064,Bhutan,A,10024.0,Sheep,A
204,Benin,204,Benin,A,2500613.0,Sheep,A
084,Belize,084,Belize,I,16210.0,Sheep,I
056,Belgium,056,Belgium,A,110120.0,Sheep,A
112,Belarus,112,Belarus,A,78700.0,Sheep,A
052,Barbados,052,Barbados,I,12736.0,Sheep,I
050,Bangladesh,050,Bangladesh,A,3752000.0,Sheep,A
048,Bahrain,048,Bahrain,A,62300.0,Sheep,A
044,Bahamas,044,Bahamas,I,6580.0,Sheep,I
031,Azerbaijan,031,Azerbaijan,A,7170828.0,Sheep,A
040,Austria,040,Austria,A,400660.0,Sheep,A
036,Australia,036,Australia,A,70234655.0,Sheep,A
-099,Indian Ocean Ter.,-099,,,,Sheep,none
-099,Heard I. and McDonald Is.,-099,,,,Sheep,none
574,Norfolk Island,574,,,,Sheep,none
-099,Ashmore and Cartier Is.,-099,,,,Sheep,none
051,Armenia,051,Armenia,A,691787.0,Sheep,A
032,Argentina,032,Argentina,A,12461845.0,Sheep,A
028,Antigua and Barb.,028,Antigua and Barbuda,I,5991.0,Sheep,I
024,Angola,024,Angola,I,1129800.0,Sheep,I
020,Andorra,020,,,,Sheep,none
012,Algeria,012,Algeria,I,31542575.0,Sheep,I
008,Albania,008,Albania,A,1371695.0,Sheep,A
004,Afghanistan,004,Afghanistan,E,12500000.0,Sheep,E
-099,Siachen Glacier,-099,,,,Sheep,none
534,Sint Maarten,534,,,,Sheep,none
798,Tuvalu,798,,,,Sheep,none
716,Zimbabwe,716,Zimbabwe,A,6171932.0,Goats,A
894,Zambia,894,Zambia,A,4455860.0,Goats,A
887,Yemen,887,Yemen,X,10295620.0,Goats,X
704,Vietnam,704,Viet Nam,I,3001267.0,Goats,I
862,Venezuela,862,Venezuela (Bolivarian Republic of),I,1394657.0,Goats,I
336,Vatican,336,,,,Goats,none
548,Vanuatu,548,Vanuatu,A,6966.0,Goats,A
860,Uzbekistan,860,Uzbekistan,A,3664500.0,Goats,A
858,Uruguay,858,Uruguay,I,18317.0,Goats,I
583,Micronesia,583,Micronesia (Federated States of),E,4792.0,Goats,E
584,Marshall Is.,584,,,,Goats,none
580,N. Mariana Is.,580,,,,Goats,none
850,U.S. Virgin Is.,850,,,,Goats,none
316,Guam,316,,,,Goats,none
016,American Samoa,016,,,,Goats,none
630,Puerto Rico,630,Puerto Rico,A,3446.0,Goats,A
840,United States of America,840,United States of America,A,2570000.0,Goats,A
-099,S. Geo. and the Is.,-099,,,,Goats,none
-099,Br. Indian Ocean Ter.,-099,,,,Goats,none
654,Saint Helena,654,,,,Goats,none
612,Pitcairn Is.,612,,,,Goats,none
660,Anguilla,660,,,,Goats,none
238,Falkland Is.,238,,,,Goats,none
136,Cayman Is.,136,,,,Goats,none
060,Bermuda,060,,,,Goats,none
092,British Virgin Is.,092,,,,Goats,none
796,Turks and Caicos Is.,796,,,,Goats,none
500,Montserrat,500,,,,Goats,none
832,Jersey,832,,,,Goats,none
831,Guernsey,831,,,,Goats,none
833,Isle of Man,833,,,,Goats,none
826,United Kingdom,826,United Kingdom of Great Britain and Northern Ireland,A,111000.0,Goats,A
784,United Arab Emirates,784,United Arab Emirates,A,2235919.0,Goats,A
804,Ukraine,804,Ukraine,A,487200.0,Goats,A
800,Uganda,800,Uganda,A,17406160.0,Goats,A
795,Turkmenistan,795,Turkmenistan,A,4680048.0,Goats,A
792,Turkey,792,Türkiye,A,11577862.0,Goats,A
788,Tunisia,788,Tunisia,I,1118828.0,Goats,I
780,Trinidad and Tobago,780,Trinidad and Tobago,A,12205.0,Goats,A
776,Tonga,776,Tonga,E,14454.0,Goats,E
768,Togo,768,Togo,A,5453572.0,Goats,A
626,Timor-Leste,626,Timor-Leste,I,215016.0,Goats,I
764,Thailand,764,Thailand,E,471831.0,Goats,E
834,Tanzania,834,United Republic of Tanzania,A,26580497.0,Goats,A
762,Tajikistan,762,Tajikistan,A,2093200.0,Goats,A
158,Taiwan,-099,"China, Taiwan Province of",A,116496.0,Goats,A
760,Syria,760,Syrian Arab Republic,A,2028594.0,Goats,A
756,Switzerland,756,Switzerland,A,82313.0,Goats,A
752,Sweden,752,Sweden,A,12000.0,Goats,A
748,eSwatini,748,Eswatini,A,527185.0,Goats,A
740,Suriname,740,Suriname,A,4286.0,Goats,A
728,S. Sudan,728,South Sudan,E,16444483.0,Goats,E
729,Sudan,729,Sudan,X,31000000.0,Goats,X
144,Sri Lanka,144,Sri Lanka,A,365790.0,Goats,A
724,Spain,724,Spain,A,2463450.0,Goats,A
410,South Korea,410,Republic of Korea,E,306776.0,Goats,E
710,South Africa,710,South Africa,A,5138635.0,Goats,A
706,Somalia,706,Somalia,I,11374244.0,Goats,I
-099,Somaliland,-099,,,,Goats,none
090,Solomon Is.,090,,,,Goats,none
703,Slovakia,703,Slovakia,A,20500.0,Goats,A
705,Slovenia,705,Slovenia,A,25960.0,Goats,A
702,Singapore,702,Singapore,E,733.0,Goats,E
694,Sierra Leone,694,Sierra Leone,I,825639.0,Goats,I
690,Seychelles,690,Seychelles,I,5781.0,Goats,I
688,Serbia,688,Serbia,A,191703.0,Goats,A
686,Senegal,686,Senegal,A,7558169.0,Goats,A
682,Saudi Arabia,682,Saudi Arabia,A,6779154.0,Goats,A
678,São Tomé and Principe,678,Sao Tome and Principe,I,6106.0,Goats,I
674,San Marino,674,,,,Goats,none
882,Samoa,882,,,,Goats,none
670,St. Vin. and Gren.,670,Saint Vincent and the Grenadines,I,10319.0,Goats,I
662,Saint Lucia,662,Saint Lucia,E,14332.0,Goats,E
659,St. Kitts and Nevis,659,Saint Kitts and Nevis,A,9000.0,Goats,A
646,Rwanda,646,Rwanda,A,1513140.0,Goats,A
643,Russia,643,Russian Federation,A,1811125.0,Goats,A
642,Romania,642,Romania,A,1483200.0,Goats,A
634,Qatar,634,Qatar,A,358137.0,Goats,A
620,Portugal,620,Portugal,A,352050.0,Goats,A
616,Poland,616,Poland,A,62580.0,Goats,A
608,Philippines,608,Philippines,A,3908131.0,Goats,A
604,Peru,604,Peru,A,1767612.0,Goats,A
600,Paraguay,600,Paraguay,A,133799.0,Goats,A
598,Papua New Guinea,598,Papua New Guinea,I,3130.0,Goats,I
591,Panama,591,Panama,I,8915.0,Goats,I
585,Palau,585,,,,Goats,none
586,Pakistan,586,Pakistan,A,82503000.0,Goats,A
512,Oman,512,Oman,A,2492013.0,Goats,A
578,Norway,-99,Norway,A,70400.0,Goats,A
408,North Korea,408,Democratic People's Republic of Korea,I,3976077.0,Goats,I
566,Nigeria,566,Nigeria,I,88043009.0,Goats,I
562,Niger,562,Niger,A,20369178.0,Goats,A
558,Nicaragua,558,Nicaragua,I,8068.0,Goats,I
554,New Zealand,554,New Zealand,A,88428.0,Goats,A
570,Niue,570,,,,Goats,none
184,Cook Is.,184,Cook Islands,E,4178.0,Goats,E
528,Netherlands,528,Netherlands (Kingdom of the),A,570000.0,Goats,A
533,Aruba,533,,,,Goats,none
531,Curaçao,531,,,,Goats,none
524,Nepal,524,Nepal,A,13990703.0,Goats,A
520,Nauru,520,,,,Goats,none
516,Namibia,516,Namibia,A,2041257.0,Goats,A
508,Mozambique,508,Mozambique,A,4405952.0,Goats,A
504,Morocco,504,Morocco,A,6045690.0,Goats,A
732,W. Sahara,732,,,,Goats,none
499,Montenegro,499,Montenegro,A,29136.0,Goats,A
496,Mongolia,496,Mongolia,A,27569395.0,Goats,A
498,Moldova,498,Republic of Moldova,A,137021.0,Goats,A
492,Monaco,492,,,,Goats,none
484,Mexico,484,Mexico,A,8824664.0,Goats,A
480,Mauritius,480,Mauritius,A,21608.0,Goats,A
478,Mauritania,478,Mauritania,I,7188153.0,Goats,I
470,Malta,470,Malta,A,6520.0,Goats,A
466,Mali,466,Mali,A,30661134.0,Goats,A
462,Maldives,462,,,,Goats,none
458,Malaysia,458,Malaysia,A,335137.0,Goats,A
454,Malawi,454,Malawi,A,12238382.0,Goats,A
450,Madagascar,450,Madagascar,A,1963902.0,Goats,A
807,North Macedonia,807,North Macedonia,A,80186.0,Goats,A
442,Luxembourg,442,Luxembourg,A,5090.0,Goats,A
440,Lithuania,440,Lithuania,A,14990.0,Goats,A
438,Liechtenstein,438,,,,Goats,none
434,Libya,434,Libya,I,2672710.0,Goats,I
430,Liberia,430,Liberia,I,339823.0,Goats,I
426,Lesotho,426,Lesotho,A,957522.0,Goats,A
422,Lebanon,422,Lebanon,X,337626.0,Goats,X
428,Latvia,428,Latvia,A,11680.0,Goats,A
418,Laos,418,Lao People's Democratic Republic,A,763000.0,Goats,A
417,Kyrgyzstan,417,Kyrgyzstan,A,685368.0,Goats,A
414,Kuwait,414,Kuwait,E,223115.0,Goats,E
-099,Kosovo,-099,,,,Goats,none
296,Kiribati,296,,,,Goats,none
404,Kenya,404,Kenya,A,30558620.0,Goats,A
398,Kazakhstan,398,Kazakhstan,A,1883956.0,Goats,A
400,Jordan,400,Jordan,A,733210.0,Goats,A
392,Japan,392,Japan,I,16497.0,Goats,I
388,Jamaica,388,Jamaica,I,587237.0,Goats,I
380,Italy,380,Italy,A,1010000.0,Goats,A
376,Israel,376,Israel,A,144500.0,Goats,A
275,Palestine,275,Palestine,I,249197.0,Goats,I
372,Ireland,372,Ireland,A,9240.0,Goats,A
368,Iraq,368,Iraq,A,1400824.0,Goats,A
364,Iran,364,Iran (Islamic Republic of),A,18309000.0,Goats,A
360,Indonesia,360,Indonesia,A,18560835.0,Goats,A
356,India,356,India,E,177300000.0,Goats,E
352,Iceland,352,Iceland,A,1875.0,Goats,A
348,Hungary,348,Hungary,A,41000.0,Goats,A
340,Honduras,340,Honduras,I,24711.0,Goats,I
332,Haiti,332,Haiti,I,1861731.0,Goats,I
328,Guyana,328,Guyana,I,82393.0,Goats,I
624,Guinea-Bissau,624,Guinea-Bissau,E,811005.0,Goats,E
324,Guinea,324,Guinea,A,4212916.0,Goats,A
320,Guatemala,320,Guatemala,I,115497.0,Goats,I
308,Grenada,308,Grenada,E,25000.0,Goats,E
300,Greece,300,Greece,A,2960900.0,Goats,A
288,Ghana,288,Ghana,I,8714896.0,Goats,I
276,Germany,276,Germany,A,159000.0,Goats,A
268,Georgia,268,Georgia,A,52500.0,Goats,A
270,Gambia,270,Gambia,A,405954.0,Goats,A
266,Gabon,266,Gabon,I,117379.0,Goats,I
250,France,250,France,A,1353000.0,Goats,A
666,St. Pierre and Miquelon,666,,,,Goats,none
876,Wallis and Futuna Is.,876,,,,Goats,none
663,St-Martin,663,,,,Goats,none
652,St-Barthélemy,652,,,,Goats,none
258,Fr. Polynesia,258,French Polynesia,I,15817.0,Goats,I
540,New Caledonia,540,New Caledonia,E,1700.0,Goats,E
260,Fr. S. Antarctic Lands,260,,,,Goats,none
248,Åland,248,,,,Goats,none
246,Finland,246,Finland,A,6300.0,Goats,A
242,Fiji,242,Fiji,I,279563.0,Goats,I
231,Ethiopia,231,Ethiopia,A,45716091.0,Goats,A
233,Estonia,233,Estonia,A,4000.0,Goats,A
232,Eritrea,232,Eritrea,I,1915139.0,Goats,I
226,Eq. Guinea,226,Equatorial Guinea,I,9861.0,Goats,I
222,El Salvador,222,El Salvador,E,14229.0,Goats,E
818,Egypt,818,Egypt,A,1244000.0,Goats,A
218,Ecuador,218,Ecuador,A,23789.0,Goats,A
214,Dominican Rep.,214,Dominican Republic,E,225598.0,Goats,E
212,Dominica,212,Dominica,I,9705.0,Goats,I
262,Djibouti,262,Djibouti,I,519097.0,Goats,I
304,Greenland,304,,,,Goats,none
234,Faeroe Is.,234,,,,Goats,none
208,Denmark,208,Denmark,A,18280.0,Goats,A
203,Czechia,203,Czechia,A,24610.0,Goats,A
-099,N. Cyprus,-099,,,,Goats,none
196,Cyprus,196,Cyprus,A,254180.0,Goats,A
192,Cuba,192,Cuba,A,634500.0,Goats,A
191,Croatia,191,Croatia,A,82000.0,Goats,A
384,Côte d'Ivoire,384,Côte d'Ivoire,A,4563406.0,Goats,A
188,Costa Rica,188,Costa Rica,I,78826.0,Goats,I
180,Dem. Rep. Congo,180,Democratic Republic of the Congo,A,4133019.0,Goats,A
178,Congo,178,Congo,I,325042.0,Goats,I
174,Comoros,174,Comoros,I,121125.0,Goats,I
170,Colombia,170,Colombia,A,1155721.0,Goats,A
156,China,156,"China, mainland",A,132242500.0,Goats,A
446,Macao,446,,,,Goats,none
344,Hong Kong,344,"China, Hong Kong SAR",I,683.0,Goats,I
152,Chile,152,Chile,I,418073.0,Goats,I
148,Chad,148,Chad,A,46438592.0,Goats,A
140,Central African Rep.,140,Central African Republic,E,6200000.0,Goats,E
132,Cabo Verde,132,Cabo Verde,A,139218.0,Goats,A
124,Canada,124,Canada,I,30000.0,Goats,I
120,Cameroon,120,Cameroon,I,6572453.0,Goats,I
116,Cambodia,116,,,,Goats,none
104,Myanmar,104,Myanmar,E,2300000.0,Goats,E
108,Burundi,108,Burundi,A,4379476.0,Goats,A
854,Burkina Faso,854,Burkina Faso,A,10798342.0,Goats,A
100,Bulgaria,100,Bulgaria,A,184020.0,Goats,A
096,Brunei,096,Brunei Darussalam,A,4160.0,Goats,A
076,Brazil,076,Brazil,A,12390490.0,Goats,A
072,Botswana,072,Botswana,I,1210035.0,Goats,I
070,Bosnia and Herz.,070,Bosnia and Herzegovina,A,44588.0,Goats,A
068,Bolivia,068,Bolivia (Plurinational State of),A,2281625.0,Goats,A
064,Bhutan,064,Bhutan,A,56004.0,Goats,A
204,Benin,204,Benin,A,3619241.0,Goats,A
084,Belize,084,Belize,I,191.0,Goats,I
056,Belgium,056,Belgium,A,75360.0,Goats,A
112,Belarus,112,Belarus,A,52000.0,Goats,A
052,Barbados,052,Barbados,I,5604.0,Goats,I
050,Bangladesh,050,Bangladesh,A,26774000.0,Goats,A
048,Bahrain,048,Bahrain,A,24400.0,Goats,A
044,Bahamas,044,Bahamas,I,15063.0,Goats,I
031,Azerbaijan,031,Azerbaijan,A,580840.0,Goats,A
040,Austria,040,Austria,A,99020.0,Goats,A
036,Australia,036,Australia,E,3800000.0,Goats,E
-099,Indian Ocean Ter.,-099,,,,Goats,none
-099,Heard I. and McDonald Is.,-099,,,,Goats,none
574,Norfolk Island,574,,,,Goats,none
-099,Ashmore and Cartier Is.,-099,,,,Goats,none
051,Armenia,051,Armenia,A,21943.0,Goats,A
032,Argentina,032,Argentina,A,3954991.0,Goats,A
028,Antigua and Barb.,028,Antigua and Barbuda,E,16000.0,Goats,E
024,Angola,024,Angola,I,4253234.0,Goats,I
020,Andorra,020,,,,Goats,none
012,Algeria,012,Algeria,I,5127003.0,Goats,I
008,Albania,008,Albania,A,721555.0,Goats,A
004,Afghanistan,004,Afghanistan,E,7998225.0,Goats,E
-099,Siachen Glacier,-099,,,,Goats,none
534,Sint Maarten,534,,,,Goats,none
798,Tuvalu,798,,,,Goats,none
716,Zimbabwe,716,Zimbabwe,A,362732.0,Pigs,A
894,Zambia,894,Zambia,A,1160842.0,Pigs,A
887,Yemen,887,,,,Pigs,none
704,Vietnam,704,Viet Nam,A,24745382.0,Pigs,A
862,Venezuela,862,Venezuela (Bolivarian Republic of),A,2131456.0,Pigs,A
336,Vatican,336,,,,Pigs,none
548,Vanuatu,548,Vanuatu,A,79472.0,Pigs,A
860,Uzbekistan,860,Uzbekistan,A,45166.0,Pigs,A
858,Uruguay,858,Uruguay,A,161000.0,Pigs,A
